act,data_editie,tip,titlu,categorie,partener,semnat,editie,suport_bugetar,link
DP770/2026,10.09.2026,Decret,Decret pentru promulgarea Legii privind scutirea de unele taxe și impozite la importul/livrările de mărfuri și/sau servicii destinate implementării Acordului-cadru de împrumut dintre Banca de Dezvoltare a Consiliului Europei și Republica Moldova „Modernizarea școlilor (facilitatea de finanțare publică)”,Împrumut,CEB,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=156367&lang=ro
LP199/2026,03.09.2026,Lege,Lege privind scutirea de unele taxe și impozite la importul/livrările de mărfuri și/sau servicii destinate implementării Acordului-cadru de împrumut dintre Banca de Dezvoltare a Consiliului Europei și Republica Moldova „Modernizarea școlilor (facilitatea de finanțare publică)”,Împrumut,CEB,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=156368&lang=ro
DP763/2026,03.09.2026,Decret,Decret cu privire la promulgarea Legii pentru ratificarea Scrisorii de modificare la Acordul de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare „RLF – Răspuns de urgență – Căile Ferate din Moldova”,Împrumut,BERD,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=156249&lang=ro
O147/2026,02.09.2026,Ordin,Ordin cu privire la aducerea la cunoştinţa publică a datei intrării în vigoare a Acordului de colaborare dintre Instituţia Publică Organizaţia pentru Dezvoltarea Antreprenoriatului şi Programul Naţiunilor Unite pentru Dezvoltare pentru implementarea proiectului „Comunităţi reziliente prin abilitarea femeilor”,Asistență tehnică,PNUD,,MO 407-409,,https://www.legis.md/cautare/getResults?document_status=0&nr_doc=147&datepicker1=24.08.2026&publication_status=+-+TOATE+-+&nr=&publish_date=&search_type=1&search_string=
LP188/2026,24.08.2026,Lege,Lege pentru ratificarea Scrisorii de modificare la Acordul de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare „RLF – Răspuns de urgență – Căile Ferate din Moldova”,Împrumut,BERD,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=156261&lang=ro
DP741/2026,21.08.2026,Decret,Decret pentru inițierea negocierilor și aprobarea semnării Amendamentului la Acordurile de finanțare dintre Republica Moldova și Asociația Internațională pentru Dezvoltare privind Proiectul de dezvoltare a sistemului electroenergetic,Împrumut,AID,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=155993&lang=ro
OMMPS273/2026,18.08.2026,Ordin,"Ordin cu privire la semnarea și intrarea în vigoare a Amendamentului nr. 1, semnat la Chișinău la 29 iulie 2026, la Acordul pentru proiectul de cooperare și finanțare dintre Federația Internațională a Societăților de Cruce Roșie și Semilună Roșie (FICR) și Ministerul Muncii și Protecției Sociale al Republicii Moldova privind Proiectul „Sprijin pentru funcționarea centrelor de plasament temporar pentru refugiați și acordarea asistenței în sezonul rece în Republica Moldova”, semnat la Chișinău la 2 martie 2026",Grant,FICR,29.07.2026,legis.md,,https://www.legis.md/cautare/getResults?doc_id=156195&lang=ro
HG442/2026,12.08.2026,Hotărâre,"Hotărâre cu privire la aprobarea Amendamentului nr. 1, semnat la Chișinău la 29 iulie 2026, la Acordul pentru proiectul de cooperare și finanțare dintre Federația Internațională a Societăților de Cruce Roșie și Semilună Roșie (FICR) și Ministerul Muncii și Protecției Sociale al Republicii Moldova privind Proiectul „Sprijin pentru funcționarea centrelor de plasament temporar pentru refugiați și acordarea asistenței în sezonul rece în Republica Moldova’’, semnat la Chișinău la 2 martie 2026",Grant,FICR,29.07.2026,legis.md,,https://www.legis.md/cautare/getResults?doc_id=155817&lang=ro
HG430/2026,06.08.2026,Hotărâre,Hotărâre cu privire la aprobarea semnării Acordului de colaborare dintre Instituția Publică Organizația pentru Dezvoltarea Antreprenoriatului și Programul Națiunilor Unite pentru Dezvoltare pentru implementarea proiectului „Comunități reziliente prin abilitarea femeilor”,Asistență tehnică,PNUD,,MO 359-362,,https://www.legis.md/cautare/getResults?document_status=0&nr_doc=430&datepicker1=05.08.2026&publication_status=+-+TOATE+-+&nr=&publish_date=&search_type=1&search_string=
DP716/2026,05.08.2026,Decret,"Decret cu privire la promulgarea Legii pentru ratificarea Amendamentului, încheiat prin schimb de scrisori, la Acordul de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare (BIRD) pentru realizarea Proiectului de competitivitate a întreprinderilor micro, mici și mijlocii (Proiectul ÎMMM) și la Acordul de finanțare dintre Republica Moldova și Asociația Internațională pentru Dezvoltare (AID) pentru realizarea Proiectului de competitivitate a întreprinderilor micro, mici și mijlocii (Proiectul ÎMMM)",Împrumut,BIRD / AID,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=155677&lang=ro
DP715/2026,05.08.2026,Decret,Decret cu privire la promulgarea Legii pentru ratificarea Contractului de finanțare dintre Republica Moldova și Banca Europeană de Investiții privind realizarea proiectului „Livada Moldovei II”,Împrumut,BEI,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=155814&lang=ro
LP157/2026,30.07.2026,Lege,"Lege pentru ratificarea Amendamentului, încheiat prin schimb de scrisori, la Acordul de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare (BIRD) pentru realizarea Proiectului de competitivitate a întreprinderilor micro, mici și mijlocii (Proiectul ÎMMM) și la Acordul de finanțare dintre Republica Moldova și Asociația Internațională pentru Dezvoltare (AID) pentru realizarea Proiectului de competitivitate a întreprinderilor micro, mici și mijlocii (Proiectul ÎMMM)",Împrumut,BIRD / AID,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=155678&lang=ro
LP155/2026,30.07.2026,Lege,Lege pentru ratificarea Contractului de finanțare dintre Republica Moldova și Banca Europeană de Investiții privind realizarea proiectului „Livada Moldovei II”,Împrumut,BEI,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=155816&lang=ro
HG416/2026,29.07.2026,Hotărâre,"Hotărâre cu privire la aprobarea semnării Amendamentului nr. 1 la Acordul pentru proiectul de cooperare și finanțare dintre Federația Internațională a Societăților de Cruce Roșie și Semilună Roșie (FICR) și Ministerul Muncii și Protecției Sociale al Republicii Moldova privind Proiectul „Sprijin pentru funcționarea centrelor de plasament temporar pentru refugiați și acordarea asistenței în sezonul receîn Republica Moldova”, semnat la Chișinău la 2 martie 2026",Grant,FICR,02.03.2026,legis.md,,https://www.legis.md/cautare/getResults?doc_id=155555&lang=ro
HG406/2026,29.07.2026,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Amendamentului, încheiat prin schimb de scrisori, la Acordul de împrumut dintre Republica Moldova şi Banca Internaţională pentru Reconstrucţie şi Dezvoltare (BIRD) pentru realizarea Proiectului de competitivitate a întreprinderilor micro, mici și mijlocii (Proiectul ÎMMM), și la Acordul de finanțare dintre Republica Moldova și Asociația Internațională pentru Dezvoltare (AID) pentru realizarea Proiectuluide competitivitate a întreprinderilor micro, mici și mijlocii (Proiectul ÎMMM), semnat la 26 iunie 2026",Împrumut,BIRD / AID,26.06.2026,legis.md,,https://www.legis.md/cautare/getResults?doc_id=155546&lang=ro
HG405/2026,29.07.2026,Hotărâre,Hotărâre cu privire la inițierea negocierilor și aprobarea semnăriiAcordului de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare privind realizarea Proiectului VI de reabilitare a drumurilor din Moldova,Împrumut,BERD,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=155545&lang=ro
HG384/2026,29.07.2026,Hotărâre,Hotărâre cu privire la inițierea negocierilor asupra proiectului Acordului de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare pentru realizarea Proiectului „Moldova – Proiect de alimentare durabilă cu apă (irigații)” și împuternicirea delegației oficiale pentru negocieri,Împrumut,BERD,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=155597&lang=ro
HG383/2026,29.07.2026,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Contractului de finanțare dintre Republica Moldova și Banca Europeană de Investiții privind realizarea proiectului „Livada Moldovei II”, semnat la Chișinău la 29 iunie 2026",Împrumut,BEI,29.06.2026,legis.md,,https://www.legis.md/cautare/getResults?doc_id=155541&lang=ro
DP700/2026,27.07.2026,Decret,Decret cu privire la promulgarea Legii pentru ratificarea Contractului de finanțare dintre Republica Moldova și Banca Europeană de Investiții pentru realizarea proiectului „Reabilitarea și modernizarea școlilor din Moldova”,Împrumut,BEI,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=155563&lang=ro
