act,data_editie,tip,titlu,categorie,partener,semnat,editie,suport_bugetar,link
"nr. 763-X, 3 septembrie 2026",09.09.2026,Decret,Decret cu privire la promulgarea Legii pentru ratificarea Scrisorii de modificare la Acordul de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare „RLF – Răspuns de urgență – Căile Ferate din Moldova”,Împrumut,BERD,,435-438,,https://monitorul.gov.md/ro/monitor/3336
"nr. 188, 24 august 2026",09.09.2026,Lege,Lege pentru ratificarea Scrisorii de modificare la Acordul de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare „RLF – Răspuns de urgență – Căile Ferate din Moldova”,Împrumut,BERD,,435-438,,https://monitorul.gov.md/ro/monitor/3336
"nr. 273, 18 august 2026",04.09.2026,Ordin,"Ordin cu privire la semnarea și intrarea în vigoare a Amendamentului nr. 1, semnat la Chișinău la 29 iulie 2026, la Acordul pentru proiectul de cooperare și finanțare dintre Federația Internațională a Societăților de Cruce Roșie și Semilună Roșie (FICR) și Ministerul Muncii și Protecției Sociale al Republicii Moldova privind Proiectul „Sprijin pentru funcționarea centrelor de plasament temporar pentru refugiați și acordarea asistenței în sezonul rece în Republica Moldova”, semnat la Chișinău la 2 martie 2026",Grant,FICR,29.07.2026,420-423,,https://monitorul.gov.md/ro/monitor/3331
"nr. 147, 24 august 2026",02.09.2026,Ordin,Ordin cu privire la aducerea la cunoştinţa publică a datei intrării în vigoare a Acordului de colaborare dintre Instituţia Publică Organizaţia pentru Dezvoltarea Antreprenoriatului şi Programul Naţiunilor Unite pentru Dezvoltare pentru implementarea proiectului „Comunităţi reziliente prin abilitarea femeilor”,Asistență tehnică,PNUD,,407-409,,https://monitorul.gov.md/ro/monitor/3327
"nr. 741-X, 21 august 2026",25.08.2026,Decret,Decret pentru inițierea negocierilor și aprobarea semnării Amendamentului la Acordurile de finanțare dintre Republica Moldova și Asociația Internațională pentru Dezvoltare privind Proiectul de dezvoltare a sistemului electroenergetic,Împrumut,AID,,390-393,,https://monitorul.gov.md/ro/monitor/3322
"nr. 715-X, 5 august 2026",13.08.2026,Decret,Decret cu privire la promulgarea Legii pentru ratificarea Contractului de finanțare dintre Republica Moldova și Banca Europeană de Investiții privind realizarea proiectului „Livada Moldovei II”,Împrumut,BEI,,375-378,,https://monitorul.gov.md/ro/monitor/3318
"nr. 442, 12 august 2026",13.08.2026,Hotărâre,"Hotărâre cu privire la aprobarea Amendamentului nr. 1, semnat la Chișinău la 29 iulie 2026, la Acordul pentru proiectul de cooperare și finanțare dintre Federația Internațională a Societăților de Cruce Roșie și Semilună Roșie (FICR) și Ministerul Muncii și Protecției Sociale al Republicii Moldova privind Proiectul „Sprijin pentru funcționarea centrelor de plasament temporar pentru refugiați și acordarea asistenței în sezonul rece în Republica Moldova”, semnat la Chișinău la 2 martie 2026",Grant,FICR,29.07.2026,375-378,,https://monitorul.gov.md/ro/monitor/3318
"nr. 155, 30 iulie 2026",13.08.2026,Lege,Lege pentru ratificarea Contractului de finanțare dintre Republica Moldova și Banca Europeană de Investiții privind realizarea proiectului „Livada Moldovei II”,Împrumut,BEI,,375-378,,https://monitorul.gov.md/ro/monitor/3318
"nr. 716-X, 5 august 2026",06.08.2026,Decret,"Decret cu privire la promulgarea Legii pentru ratificarea Amendamentului, încheiat prin schimb de scrisori, la Acordul de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare (BIRD) pentru realizarea Proiectului de competitivitate a întreprinderilor micro, mici și mijlocii (Proiectul ÎMMM) și la Acordul de finanțare dintre Republica Moldova și Asociația Internațională pentru Dezvoltare (AID) pentru realizarea Proiectului de competitivitate a întreprinderilor micro, mici și mijlocii (Proiectul ÎMMM)",Împrumut,BIRD / AID,,359-362,,https://monitorul.gov.md/ro/monitor/3314
"nr. 430, 5 august 2026",06.08.2026,Hotărâre,Hotărâre cu privire la aprobarea semnării Acordului de colaborare dintre Instituția Publică Organizația pentru Dezvoltarea Antreprenoriatului și Programul Națiunilor Unite pentru Dezvoltare pentru implementarea proiectului „Comunități reziliente prin abilitarea femeilor”,Asistență tehnică,PNUD,,359-362,,https://monitorul.gov.md/ro/monitor/3314
